id,orderNumber,barcode,clientId,productPrice,shippingFee,tax,adjustmentAmount,totalAmount,finalAmount,paymentMethod,paymentStatus,status,currentProcess,isUrgent,requestedDeliveryDate,customerMemo,productMemo,adminMemo,orderedAt,createdAt,updatedAt,isDuplicateOverride,createdByUserId,printQueueEnteredAt,printQueueExitReason,printQueueExitedAt,printQueueStatus
cmn8t0k4m000pcc2hikxdrc2q,260327-001,MN8T0K4HN8C7,cmmagsozx0002tjo9f0wsln3v,132250.00,0.00,0.00,0.00,132250.00,132250.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-03-27 11:14:28.198,2026-03-27 11:14:28.198,2026-03-27 11:14:28.198,f,,,,,
cmlg6m6g3000pws51na8ajy3z,260210-005,MLG6M6G2JX4D,cml5w4ssp0001v7vnm48qzlwz,19000.00,5500.00,1900.00,0.00,26400.00,26400.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.467,2026-02-10 05:50:10.467,2026-02-25 04:07:43.813,f,,,,,
cmlg6m6fj000jws51y9f288of,260210-004,MLG6M6FIYIXY,cml5w4ssp0001v7vnm48qzlwz,80000.00,5500.00,8000.00,0.00,93500.00,93500.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.448,2026-02-10 05:50:10.448,2026-02-25 04:07:43.815,f,,,,,
cmlg6m6ef0007ws51vh4ne6qw,260210-002,MLG6M6EEM081,cml5w4ssp0001v7vnm48qzlwz,38000.00,5500.00,3800.00,0.00,47300.00,47300.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.408,2026-02-10 05:50:10.408,2026-02-25 04:07:43.816,f,,,,,
cmlg6m6f0000dws511mr6yc6k,260210-003,MLG6M6F019S3,cml5w4ssp0001v7vnm48qzlwz,42500.00,5500.00,4250.00,0.00,52250.00,52250.00,postpaid,pending,receipt_completed,reception_complete,f,,,,,2026-02-10 05:50:10.429,2026-02-10 05:50:10.429,2026-02-25 04:07:43.817,f,,,,,
cmlg90nty000112pqw0m5p6nd,260210-006,MLG90NTX9HXP,cmkg8vzuf0000at5m0dyaydie,10000.00,3000.00,1000.00,0.00,14000.00,14000.00,postpaid,pending,cancelled,order_cancelled,f,,,,,2026-02-10 06:57:25.414,2026-02-10 06:57:25.414,2026-02-25 04:07:43.818,f,,,,,
cmleilfct000114aqlh7tlmos,260209-011,MLEILFCSCVVZ,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:49:58.398,2026-02-09 01:49:58.398,2026-02-24 08:06:42.895,f,,,,,
cmlei22ij0001coa4y1m3bt9q,260209-001,MLEI22IINZ0M,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.292,2026-02-09 01:34:55.292,2026-02-24 08:06:42.887,f,,,,,
cmlei22jj0006coa43sx3jc95,260209-002,MLEI22JI47ZM,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.327,2026-02-09 01:34:55.327,2026-02-24 08:06:42.889,f,,,,,
cmlei22k5000bcoa4k7d90mo3,260209-003,MLEI22K4N1SV,cml5w4ssp0001v7vnm48qzlwz,9000.00,0.00,900.00,0.00,9900.00,9900.00,postpaid,pending,pending_receipt,receipt_pending,f,,,,,2026-02-09 01:34:55.349,2026-02-09 01:34:55.349,2026-02-24 08:06:42.889,f,,,,,
