id,ledgerNumber,ledgerDate,salesDate,clientId,clientName,clientBizNo,orderId,orderNumber,salesType,taxType,supplyAmount,vatAmount,shippingFee,adjustmentAmount,totalAmount,receivedAmount,outstandingAmount,paymentMethod,paymentStatus,dueDate,salesStatus,description,adminMemo,createdBy,confirmedBy,confirmedAt,createdAt,updatedAt,staffId
cmlg6srvo0001rfsetqepvfew,SL-20260210-001,2026-02-09 01:34:55.292,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22ij0001coa4y1m3bt9q,ORD-20260209-0001,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0001 매출,,system-backfill,,,2026-02-10 05:55:18.18,2026-02-10 05:55:18.18,
cmlg6srvt0004rfsemimb407p,SL-20260210-002,2026-02-09 01:34:55.327,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22jj0006coa43sx3jc95,ORD-20260209-0002,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0002 매출,,system-backfill,,,2026-02-10 05:55:18.185,2026-02-10 05:55:18.185,
cmlg6srvu0007rfseswhfmt7f,SL-20260210-003,2026-02-09 01:34:55.349,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22k5000bcoa4k7d90mo3,ORD-20260209-0003,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0003 매출,,system-backfill,,,2026-02-10 05:55:18.187,2026-02-10 05:55:18.187,
cmlg6srvw000arfsezc8j3naf,SL-20260210-004,2026-02-09 01:34:55.371,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22kr000gcoa4254l6z0p,ORD-20260209-0004,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0004 매출,,system-backfill,,,2026-02-10 05:55:18.188,2026-02-10 05:55:18.188,
cmlg6srvx000drfser1h4f3c7,SL-20260210-005,2026-02-09 01:34:55.392,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22lc000lcoa4z05337h8,ORD-20260209-0005,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0005 매출,,system-backfill,,,2026-02-10 05:55:18.19,2026-02-10 05:55:18.19,
cmlg6srvz000grfseoypz4g2z,SL-20260210-006,2026-02-09 01:34:55.413,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22lw000qcoa4j6jrruqu,ORD-20260209-0006,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0006 매출,,system-backfill,,,2026-02-10 05:55:18.191,2026-02-10 05:55:18.191,
cmlg6srw0000jrfserxp6hx2x,SL-20260210-007,2026-02-09 01:34:55.434,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22mh000vcoa41oadyxjz,ORD-20260209-0007,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0007 매출,,system-backfill,,,2026-02-10 05:55:18.193,2026-02-10 05:55:18.193,
cmlg6srw2000mrfsevy3kju10,SL-20260210-008,2026-02-09 01:34:55.453,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22n10010coa45clnhoav,ORD-20260209-0008,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0008 매출,,system-backfill,,,2026-02-10 05:55:18.194,2026-02-10 05:55:18.194,
cmlg6srw3000prfse1u7lbzgx,SL-20260210-009,2026-02-09 01:34:55.472,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22nk0015coa4wc3moq49,ORD-20260209-0009,ALBUM,TAXABLE,9000.00,900.00,0.00,0.00,9900.00,0.00,9900.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0009 매출,,system-backfill,,,2026-02-10 05:55:18.195,2026-02-10 05:55:18.195,
cmlg6srw4000srfsecuwnakid,SL-20260210-010,2026-02-09 01:34:55.491,,cml5w4ssp0001v7vnm48qzlwz,풀로우,3072204670,cmlei22o2001acoa4g2vzozpy,ORD-20260209-0010,ALBUM,TAXABLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,postpaid,unpaid,,REGISTERED,ORD-20260209-0010 매출,,system-backfill,,,2026-02-10 05:55:18.196,2026-02-10 05:55:18.196,
